id;name;age;basic_sallary;employment_date;number_of_dependants
1;calculate networks;75660;60113;2021-04-02;71581
2;withdrawal;25834;71697;2021-04-02;15435
3;Granite leading-edge;64123;41321;2021-04-02;9385
4;silver Small Indiana;9330;48050;2021-04-01;71649
5;payment backing Berkshire;37739;18713;2021-04-01;37356
6;Granite;31974;92208;2021-04-02;52932
7;Granite;94809;56135;2021-04-02;49171
8;Wooden Music;35290;66828;2021-04-01;18581
9;payment frictionless Accounts;13556;24370;2021-04-02;60589
10;Marketing ROI;93846;36755;2021-04-01;52145
